Shooter,Contested,NDD,Release_Angle,CAS
79832,0,NA,52.3780843925379,1.0
67346,0,NA,46.554703634490615,1.0
67339,0,NA,40.94888983446224,
79832,0,NA,49.24972441793001,
67361,0,NA,41.84844646589034,
67365,0,NA,45.47985373771255,1.0
67344,0,NA,49.8659388988672,
67369,0,NA,56.4163309264094,1.0
67351,0,NA,43.23903145993103,1.0
67342,0,NA,53.6161436796493,1.0
67367,0,NA,46.471014112421535,
67369,0,NA,40.61616164101842,1.0
67346,0,NA,45.48884856681637,
67367,0,NA,48.426321026049564,1.0
79832,0,NA,54.28904511870111,1.0
67365,0,NA,41.08934788454814,1.0
67339,0,NA,52.84107192321418,
67361,0,NA,52.56289002526982,
67339,0,NA,38.522602210014455,1.0
67347,0,NA,47.4124550157265,1.0
79832,0,NA,49.783229988757206,
67339,0,NA,54.20581668884759,1.0
67367,0,NA,48.86610162107589,1.0
67339,0,NA,57.86107219757032,1.0
67339,0,NA,32.26141155970456,
67367,0,NA,48.50654606898972,1.0
67369,1,67337,3.094481088460948,1.0
67339,0,NA,52.36229372198043,1.0
67337,0,NA,47.429492284695876,1.0
67346,0,NA,56.73237574931223,
75481,0,NA,38.05937262275167,
67369,0,NA,52.28486506287586,1.0
67346,0,NA,51.21669400250443,1.0
75481,0,NA,47.33501705814213,
67347,0,NA,48.64717549607,1.0
67369,0,NA,45.13484963354816,1.0
79832,0,NA,48.86776530132718,
67367,0,NA,39.400163833842015,
67351,0,NA,43.7651084509336,1.0
67365,0,NA,50.31984603773434,1.0
67347,0,NA,52.0485361948392,1.0
67339,1,67367,29.91072965579776,
67347,0,NA,51.41311477931407,1.0
67347,0,NA,45.38830011838083,1.0
67361,0,NA,39.97772999167139,
79832,0,NA,55.69754222079864,1.0
79832,0,NA,62.78507729277375,
