Shooter,Contested,NDD,Release_Angle,CAS
67903,0,NA,67.20263272871712,1.0
77929,0,NA,46.81605925739157,1.0
67361,1,77929,39.741261730731004,
67365,1,67895,46.53458468629262,1.0
67367,1,77929,27.836587866751493,1.0
67361,0,NA,16.56219007834388,1.0
77930,1,67363,46.90453325974452,1.0
67363,1,67910,53.16293694864558,1.0
67367,1,77929,59.99919166175614,1.0
77928,0,NA,53.59981132544654,1.0
77929,1,67365,51.68040106158907,
67918,0,NA,31.247534376317464,1.0
67367,1,77929,38.49086771740611,1.0
67365,0,NA,21.59636652600385,1.0
67903,1,67367,39.66328994122372,1.0
67367,0,NA,44.132942385927834,1.0
67903,1,67361,52.93087335010139,1.0
77928,0,NA,37.38233804708297,1.0
67910,0,NA,42.889205509843315,1.0
67365,0,NA,52.85608822032322,1.0
67903,1,67369,50.84280553557421,1.0
67910,0,NA,45.48148788751888,1.0
67361,0,NA,50.86011167781259,1.0
67918,0,NA,42.33043039793775,
67903,0,NA,61.52891122999576,1.0
67361,0,NA,43.29153782156889,1.0
67922,0,NA,43.01905444426482,1.0
67903,0,NA,50.1157346783283,
67361,0,NA,45.50974559344417,
67367,1,67903,40.336726610549164,1.0
67363,0,NA,32.29111214597025,1.0
77930,0,NA,46.825540294142144,1.0
67903,0,NA,51.44891072574933,1.0
67369,1,67910,46.43543250436541,1.0
67361,0,NA,42.906115219423086,1.0
77930,1,67361,56.16653288973076,1.0
75482,1,67922,36.133728951223844,1.0
67918,0,NA,50.936975706960254,1.0
67903,0,NA,51.57688848235954,
67363,0,NA,59.2199078360299,1.0
67918,0,NA,37.75597477528254,1.0
67922,0,NA,43.12352387067751,1.0
67369,0,NA,52.59333010305931,1.0
67918,0,NA,46.422324680079896,1.0
67922,0,NA,19.187089056416436,1.0
